irsttNm,cmpnyNm,indutyNm,indutyCode
센텀시티일반산업단지,(주)이엔에이치프로덕션,애니메이션 영화 및 비디오물 제작업,
센텀시티일반산업단지,(강서우),비주거용 건물 임대업,
센텀시티일반산업단지,(강선영),비주거용 건물 임대업,
센텀시티일반산업단지,(강신순),비주거용 건물 임대업,
센텀시티일반산업단지,(권영숙),비주거용 건물 임대업,
센텀시티일반산업단지,(권영옥),비주거용 건물 임대업,
센텀시티일반산업단지,(권영희),비주거용 건물 임대업,
센텀시티일반산업단지,(김경영),비주거용 건물 임대업,
센텀시티일반산업단지,"(김경자, 박주영)",비주거용 건물 임대업,
센텀시티일반산업단지,(김경희),비주거용 건물 임대업,
센텀시티일반산업단지,(김덕모),비주거용 건물 임대업,
센텀시티일반산업단지,(김동옥),비주거용 건물 임대업,
센텀시티일반산업단지,(김미영),비주거용 건물 임대업,
센텀시티일반산업단지,(김보라),비주거용 건물 임대업,
센텀시티일반산업단지,(김선자),비주거용 건물 임대업,
센텀시티일반산업단지,(김성태),비주거용 건물 임대업,
센텀시티일반산업단지,(김소영),비주거용 건물 임대업,
센텀시티일반산업단지,(김순희),비주거용 건물 임대업,
센텀시티일반산업단지,(김연희),비주거용 건물 임대업,
센텀시티일반산업단지,(김영란),비주거용 건물 임대업,
센텀시티일반산업단지,(김영심),비주거용 건물 임대업,
센텀시티일반산업단지,(김영희),비주거용 건물 임대업,
센텀시티일반산업단지,(김용준),비주거용 건물 임대업,
센텀시티일반산업단지,(김은영),비주거용 건물 임대업,
센텀시티일반산업단지,(김의태),비주거용 건물 임대업,
센텀시티일반산업단지,(김정애),비주거용 건물 임대업,
센텀시티일반산업단지,(김정희),비주거용 건물 임대업,
센텀시티일반산업단지,(김진옥),비주거용 건물 임대업,
센텀시티일반산업단지,(김진희),비주거용 건물 임대업,
센텀시티일반산업단지,(김창년),비주거용 건물 임대업,
센텀시티일반산업단지,(김형진),비주거용 건물 임대업,
센텀시티일반산업단지,(김혜정),비주거용 건물 임대업,
센텀시티일반산업단지,(김홍길),비주거용 건물 임대업,
센텀시티일반산업단지,(남궁유),비주거용 건물 임대업,
센텀시티일반산업단지,(노재진),비주거용 건물 임대업,
센텀시티일반산업단지,(류학림),비주거용 건물 임대업,
센텀시티일반산업단지,(문정민),비주거용 건물 임대업,
센텀시티일반산업단지,(박명흠),비주거용 건물 임대업,
센텀시티일반산업단지,(박성수),컴퓨터시스템 통합 자문 및 구축 서비스업,
센텀시티일반산업단지,(박소설),비주거용 건물 임대업,
센텀시티일반산업단지,(박용득 외 1명),비주거용 건물 임대업,
센텀시티일반산업단지,(박정민),비주거용 건물 임대업,
센텀시티일반산업단지,(박정혜),비주거용 건물 임대업,
센텀시티일반산업단지,(박종춘),비주거용 건물 임대업,
센텀시티일반산업단지,(사)맑은도시,건축설계 및 관련 서비스업,
센텀시티일반산업단지,(사)부산국제건축문화제,기타 인문 및 사회과학 연구개발업 외 1 종,
센텀시티일반산업단지,(사)부산국제광고제조직위원회,광고 대행업,
센텀시티일반산업단지,(사)부산디자인단체총연합회,인테리어 디자인업 외 3 종,
센텀시티일반산업단지,(사)부산콘텐츠마켓조직위원회,"영화, 비디오물 및 방송프로그램 제작 관련 서비스업",
센텀시티일반산업단지,(사)한국능률협회,직원훈련기관 외 2 종,
센텀시티일반산업단지,(사)한국디자인기업협회부경지회,인테리어 디자인업 외 3 종,
센텀시티일반산업단지,(사)한국발전연구원,시장조사 및 여론조사업,
센텀시티일반산업단지,(사단)부산경영자총협회,그 외 기타 분류 안된 교육기관,
센텀시티일반산업단지,(서덕수),비주거용 건물 임대업,
센텀시티일반산업단지,(서창석),비주거용 건물 임대업,
센텀시티일반산업단지,(성남순),비주거용 건물 임대업,
센텀시티일반산업단지,(손상기),비주거용 건물 임대업,
센텀시티일반산업단지,(신기현),비주거용 건물 임대업,
