기준연도,시도,시군구,읍면동,지목,거래면적(m2),거래금(만원),계약일,지번
2025,부산광역시,중구,영주동,대,20,6600,20250730,7**
2025,부산광역시,중구,영주동,대,28,1000,20250709,2**
2025,부산광역시,중구,영주동,대,11,1310,20250508,5**
2025,부산광역시,중구,영주동,대,11,1359,20250508,5**
2025,부산광역시,중구,대창동2가,대,12,10000,20251023,3*
2025,부산광역시,중구,대창동2가,대,13,10000,20251023,4*
2025,부산광역시,중구,중앙동4가,대,347,386806,20250630,8*
2025,부산광역시,중구,중앙동4가,도로,23,4650,20250520,5*
2025,부산광역시,중구,중앙동4가,대,644,761221,20250516,8*
2025,부산광역시,중구,동광동2가,대,12,18000,20251106,*
2025,부산광역시,중구,동광동3가,주차장,169,72000,20250831,2*
2025,부산광역시,중구,동광동3가,주차장,142,104000,20250831,2*
2025,부산광역시,중구,동광동5가,대,22,3315,20250327,*
2025,부산광역시,중구,대청동1가,대,13,5564,20250520,*
2025,부산광역시,중구,대청동1가,대,13,500,20250514,*
2025,부산광역시,중구,대청동2가,대,5,5714,20250502,3*
2025,부산광역시,중구,대청동4가,대,9,193,20250424,9*
2025,부산광역시,중구,보수동1가,대,3,392,20251006,1**
2025,부산광역시,중구,부평동1가,대,74,107831,20250610,1*
2025,부산광역시,중구,부평동3가,대,7,3469,20251222,4*
2025,부산광역시,중구,부평동3가,대,45,21530,20251222,4*
2025,부산광역시,중구,신창동4가,대,248,288272,20251209,*
2025,부산광역시,중구,창선동2가,대,5,4270,20250414,2*
2025,부산광역시,중구,창선동2가,대,6,4270,20250414,2*
2025,부산광역시,중구,남포동5가,대,2,2010,20250515,*
2025,부산광역시,중구,남포동5가,대,138,139360,20250515,*
2025,부산광역시,서구,동대신동1가,대,3,882,20251203,1**
2025,부산광역시,서구,동대신동1가,대,2,400,20250901,1**
2025,부산광역시,서구,동대신동1가,대,2,241,20250808,1*
2025,부산광역시,서구,동대신동1가,대,7,843,20250808,1*
2025,부산광역시,서구,동대신동1가,대,11,1325,20250808,1*
2025,부산광역시,서구,동대신동1가,대,21,2530,20250808,1*
2025,부산광역시,서구,동대신동1가,대,4,364,20250327,3**
2025,부산광역시,서구,동대신동2가,대,165,150000,20251215,3**
2025,부산광역시,서구,동대신동2가,대,58,4123,20251112,8*
2025,부산광역시,서구,동대신동2가,대,1,260,20250710,2**
2025,부산광역시,서구,동대신동2가,대,3,780,20250710,2**
2025,부산광역시,서구,동대신동2가,대,4,1040,20250710,2**
2025,부산광역시,서구,동대신동2가,대,16,200,20250611,8*
2025,부산광역시,서구,동대신동2가,대,40,1500,20250324,1*
2025,부산광역시,서구,동대신동2가,대,60,1500,20250324,1*
2025,부산광역시,서구,동대신동2가,대,40,2000,20250324,1*
2025,부산광역시,서구,동대신동3가,대,20,2250,20251127,6*
2025,부산광역시,서구,동대신동3가,대,22,6820,20250730,3*
2025,부산광역시,서구,동대신동3가,대,1,200,20250305,4**
2025,부산광역시,서구,동대신동3가,대,4,648,20250109,2*
2025,부산광역시,서구,서대신동2가,전,792,15000,20251125,4**
2025,부산광역시,서구,서대신동2가,대,14,2730,20250715,4**
2025,부산광역시,서구,서대신동2가,잡종지,15,8500,20250228,5**
2025,부산광역시,서구,서대신동3가,임야,113,1000,20251224,6*
