DAN_ID,DAN_NAME,SIGUNGU_CD,SIGUNGU_NM,TYPE,환경오염물질_배출사업장수,낙후도지수,공항거리,항만거리,고속도로거리,화물역거리,univ_count,연구소전담부서,mart_count,store_count,hospital_count,pharmacy_count,subway_count,bus_count,BUFFER_M
326050,금곡,21080,북구,구,87,0.769,10.73232901,19.91077345,1.812370796,6.083906624,,43,2,48,1,34,4,243,3000
226040,센텀시티,21090,해운대구,구,192,0.769,17.12529946,13.89962613,4.866338005,8.42355652,2,362,23,303,14,178,13,591,3000
326060,센텀2,21090,해운대구,구,192,0.769,18.26346029,18.07697659,4.95009874,12.1536317,12,362,9,95,4,87,6,362,3000
226030,신평·장림,21100,사하구,구,963,0.769,10.71400473,5.602722137,7.736177018,8.583155971,,234,20,185,18,110,9,580,3000
226140,산양,21100,사하구,구,963,0.769,12.42225402,6.746257572,9.549658561,10.79161566,,234,10,88,7,51,7,403,3000
226032,신평.장림(협업),21100,사하구,구,963,0.769,12.30353094,7.030178105,9.455096031,10.9760914,1,234,10,82,6,47,7,375,3000
226031,신평.장림(기존),21100,사하구,구,963,0.769,10.49724529,5.905266354,7.530742937,8.741107062,1,234,19,182,18,107,9,550,3000
326010,회동·석대,21110,금정구,구,233,0.769,18.10025997,19.34894867,3.176948537,13.11235684,17,143,2,58,3,42,6,244,3000
226330,부산연구개발,21120,강서구,구,874,0.769,3.492591938,15.73711754,2.016752919,11.76765406,,872,2,30,1,7,8,268,3000
226100,미음,21120,강서구,구,874,0.769,8.173416385,12.07400827,3.917318056,3.107430614,,872,,40,,3,,239,3000
226300,지사글로벌,21120,강서구,구,874,0.769,11.44274825,10.62470559,5.656674741,4.148845743,,872,1,35,2,15,,177,3000
226012,부산과학(외국인),21120,강서구,구,874,0.769,11.57943397,10.95801919,5.174950609,4.682510879,,872,1,45,2,19,,232,3000
226130,성우,21120,강서구,구,874,0.769,10.67516886,10.53093834,6.330535174,3.125947699,,872,,22,,5,,158,3000
126011,명지·녹산(녹산),21120,강서구,구,874,0.769,12.49588918,7.538340841,8.749742086,1.938246031,,872,,44,2,8,,417,3000
226280,정주,21120,강서구,구,874,0.769,10.54296627,11.47269632,5.210054656,4.303646407,,872,1,45,2,17,,239,3000
226020,신호,21120,강서구,구,874,0.769,11.07821305,9.980614752,8.123183252,4.021417739,,872,,65,5,20,,405,3000
226090,화전,21120,강서구,구,874,0.769,9.908436011,10.67929616,6.850906366,3.448737252,,872,,56,3,12,,394,3000
226210,부산명동,21120,강서구,구,874,0.769,9.775103512,11.24472421,5.43038842,3.20036986,,872,,25,,5,,199,3000
226011,부산과학(산업),21120,강서구,구,874,0.769,10.76881646,10.77669365,5.958340567,3.600958584,,872,,25,,9,,159,3000
226150,부산신항배후(1단계),21120,강서구,구,874,0.769,6.829902997,13.3196552,2.612741352,4.263580832,,872,,33,,,,222,3000
226160,생곡,21120,강서구,구,874,0.769,6.944420489,13.00003478,3.427442512,4.05946656,,872,,47,,,,272,3000
126012,명지·녹산(명지),21120,강서구,구,874,0.769,11.02665705,11.36555683,8.949243976,6.388152371,,872,1,73,6,31,,391,3000
226200,풍상,21120,강서구,구,874,0.769,9.201643375,11.4064021,4.875855893,2.860204718,,872,,30,,3,,219,3000
226180,강서보고,21120,강서구,구,874,0.769,10.01015401,11.76180886,5.313350014,4.193281673,,872,1,42,2,17,,243,3000
226220,지사2,21120,강서구,구,874,0.769,11.3667858,11.27064162,4.909318413,4.833937527,,872,1,53,2,19,,248,3000
226320,부산명서,21120,강서구,구,874,0.769,10.94233124,10.29678951,6.497690839,3.111128702,,872,,21,,5,,133,3000
126010,명지·녹산,21120,강서구,구,874,0.769,12.09630385,8.438540604,8.719903369,2.661548971,,872,,38,1,5,,391,3000
12601A,녹산(산업),21120,강서구,구,874,0.769,13.45565254,6.473734346,9.494022933,1.771508899,,872,,78,4,22,,429,3000
226102,미음(외국인),21120,강서구,구,874,0.769,9.477026051,10.47598308,5.487576599,1.41331143,,872,,22,,,,214,3000
226101,미음(산업),21120,강서구,구,874,0.769,7.714492681,13.08740541,3.372842937,4.346202906,,872,,41,,3,,254,3000
226010,부산과학,21120,강서구,구,874,0.769,10.79144768,11.10528611,5.490390167,4.070910032,,872,1,39,2,17,,199,3000
326040,부산에코델타시티,21120,강서구,구,874,0.769,6.987758483,12.15136341,5.126458254,5.948022736,,872,1,50,2,19,,359,3000
226310,강서해성,21120,강서구,구,874,0.769,11.63811268,9.7100439,6.747031889,3.200789255,,872,,15,,3,,112,3000
326030,모라,21150,사상구,구,1646,0.769,4.419462477,13.51121807,0.294401705,9.176092744,9,332,9,124,6,62,12,494,3000
226290,사상,21150,사상구,구,1646,0.769,5.410812937,9.039115289,2.772617119,6.846803697,8,332,17,130,9,64,5,421,3000
226260,오리,21510,기장군,군,501,0.555,26.8144786,15.77999975,4.990255002,10.29376223,1,243,4,64,2,22,4,429,7000
226250,반룡,21510,기장군,군,501,0.555,30.1383245,18.96646755,1.794927527,13.60917491,1,243,3,56,2,16,3,490,7000
226240,부산신소재,21510,기장군,군,501,0.555,28.89969502,17.50060669,3.235323766,12.16087872,1,243,3,40,2,10,3,384,7000
226060,정관,21510,기장군,군,501,0.555,27.98012141,24.2350599,3.886173218,16.27343288,1,243,5,101,5,36,2,653,7000
226270,에코장안,21510,기장군,군,501,0.555,27.56228864,16.95713235,3.954612571,11.41932115,,243,4,63,2,20,3,400,7000
226080,부산장안,21510,기장군,군,501,0.555,30.15413689,18.56327038,2.458881728,13.30912666,,243,3,46,2,13,3,428,7000
226190,정관코리,21510,기장군,군,501,0.555,28.92341104,23.3558328,2.810650945,17.40569079,,243,5,103,5,38,3,661,7000
226070,기룡,21510,기장군,군,501,0.555,27.36263461,17.00775051,4.080246156,11.42740223,,243,4,62,2,21,3,396,7000
226110,기룡2,21510,기장군,군,501,0.555,27.09247117,16.75303213,4.35635942,11.16345767,,243,4,62,2,21,4,395,7000
226120,명례,21510,기장군,군,501,0.555,26.32570962,16.43827575,4.802908116,10.77887133,,243,4,58,3,20,4,388,7000
426010,정관,21510,기장군,군,501,0.555,28.49701434,23.69079258,3.679307418,16.42550866,,243,6,94,3,42,1,657,7000
226230,동남권방사선,21510,기장군,군,501,0.555,31.35601664,20.03658646,1.270291262,14.74507874,,243,5,86,5,31,4,558,7000
226170,동부산E-PARK,21510,기장군,군,501,0.555,26.58841504,16.06829375,4.941267503,10.48961916,,243,4,62,2,20,4,409,7000
231060,울산 High Tech Valley,26510,울주군,군,978,0.39,25.44905016,30.3450642,2.555812441,22.18396487,,386,1,60,3,23,,492,7000
231040,길천,26510,울주군,군,978,0.39,24.84086459,34.244192,5.883664071,25.87028071,8,386,1,50,4,22,,375,7000
131010,온산,26510,울주군,군,978,0.39,18.02303062,5.78450822,7.795526732,0.450402137,,386,1,86,,24,2,292,7000
231030,신,26510,울주군,군,978,0.39,13.48404578,7.230426414,4.605963116,0.998925266,8,386,4,157,2,43,3,516,7000
231120,와지,26510,울주군,군,978,0.39,24.40162618,22.5421992,8.794263171,15.42331864,8,386,3,94,4,28,,585,7000
431040,상북,26510,울주군,군,978,0.39,25.20733674,34.94557143,6.664952594,26.41126538,,386,1,40,4,22,,321,7000
431020,두동,26510,울주군,군,978,0.39,18.0614517,30.94625731,1.535793195,22.6484599,4,386,,4,,,,120,7000
431030,두서,26510,울주군,군,978,0.39,18.36903573,31.02159537,5.009665126,21.86975,4,386,,8,,,,212,7000
231230,울산청양,26510,울주군,군,978,0.39,16.36964238,8.678887339,4.042107844,3.15853995,8,386,1,100,,26,4,409,7000
231090,KCC울산,26510,울주군,군,978,0.39,18.6875165,31.56532054,1.517133836,22.95125433,,386,,6,,,,139,7000
231080,봉계,26510,울주군,군,978,0.39,18.29648562,31.17561584,1.439674112,22.93445051,,386,,4,,,,110,7000
231140,작동,26510,울주군,군,978,0.39,19.94057086,20.89333277,7.275118674,12.96012674,4,386,,22,,3,,336,7000
231130,반천,26510,울주군,군,978,0.39,18.72047854,26.59131014,1.41750504,18.43556801,4,386,1,70,2,24,,499,7000
231190,GW,26510,울주군,군,978,0.39,21.71671306,17.30412593,4.326069366,10.79346639,,386,3,96,2,30,2,560,7000
231110,전읍,26510,울주군,군,978,0.39,18.16238034,30.78891086,5.292555823,21.6085979,,386,,8,,,,215,7000
231210,에너지융합,26510,울주군,군,978,0.39,26.71458218,13.35221592,8.003951838,8.658231622,,386,,50,1,8,2,315,7000
231240,머거본,26510,울주군,군,978,0.39,26.11287387,29.91780474,1.178204309,21.85259371,,386,,32,1,5,,374,7000
231270,대대,26510,울주군,군,978,0.39,21.88621757,18.82539663,6.204616295,11.87123443,,386,2,70,2,20,,535,7000
231260,울산KTX역세권,26510,울주군,군,978,0.39,20.67962726,27.5319655,0.68483691,19.31164695,,386,1,69,3,23,,515,7000
231250,울산도하,26510,울주군,군,978,0.39,13.85109294,7.766126705,3.987023393,0.716887063,,386,4,139,1,39,4,512,7000
248600,나전,38070,김해시,시,5299,0.476,13.52925829,26.02570151,1.545779227,8.307005939,,1028,1,68,4,18,2,292,5000
248830,김해테크노밸리,38070,김해시,시,5299,0.476,18.39091948,17.79129818,1.741162697,6.625891133,,1028,2,50,1,12,,297,5000
448030,내삼,38070,김해시,시,5299,0.476,13.09011355,16.03072445,1.679996239,10.34125062,,1028,6,139,6,41,,514,5000
248720,오척,38070,김해시,시,5299,0.476,21.4138651,17.42238352,1.341719344,8.064516921,,1028,4,94,2,30,,440,5000
248510,주호,38070,김해시,시,5299,0.476,23.46876129,21.82490733,3.105359657,5.597240477,,1028,3,82,2,25,,448,5000
248AG0,본산,38070,김해시,시,5299,0.476,23.72148137,22.39570776,3.408229418,5.352053051,,1028,3,74,2,25,,437,5000
248710,나전2,38070,김해시,시,5299,0.476,13.45984186,25.43886097,2.100681386,7.93605479,,1028,2,77,4,24,3,333,5000
248890,이노비즈밸리,38070,김해시,시,5299,0.476,13.37934405,19.31512485,4.41769348,7.642554388,,1028,7,159,12,63,4,602,5000
448650,하계,38070,김해시,시,5299,0.476,22.11049626,17.55714988,0.675927275,8.396072972,,1028,4,97,2,30,,439,5000
448060,병동,38070,김해시,시,5299,0.476,17.44718015,19.91929307,2.165512154,4.66627883,,1028,2,37,,1,,262,5000
448020,봉림,38070,김해시,시,5299,0.476,19.46070584,27.52608507,5.565844295,4.078203098,,1028,,8,,2,,130,5000
448500,안하,38070,김해시,시,5299,0.476,16.60681544,23.51775733,2.000014421,3.626542307,,1028,1,31,,6,1,240,5000
248910,덕암2,38070,김해시,시,5299,0.476,14.49574811,18.67938747,4.002200836,7.195515515,9,1028,2,77,2,16,2,361,5000
448010,나전,38070,김해시,시,5299,0.476,14.82915156,25.95540328,1.981192973,6.893072934,9,1028,1,55,3,17,2,246,5000
448050,진영죽곡,38070,김해시,시,5299,0.476,19.32820077,19.35176534,1.412407584,5.165851866,14,1028,3,84,2,25,,392,5000
248850,서김해,38070,김해시,시,5299,0.476,9.437326195,16.68786825,1.490955054,10.25517748,14,1028,15,250,20,117,5,978,5000
248880,김해가산,38070,김해시,시,5299,0.476,22.3179571,22.13329307,2.132665928,4.193425489,14,1028,3,80,2,24,,423,5000
248AM0,AM하이테크,38070,김해시,시,5299,0.476,16.20542275,14.11733984,2.383734501,10.55649778,,1028,1,57,1,20,,230,5000
448550,본산,38070,김해시,시,5299,0.476,22.73219496,22.55343684,2.616247395,4.245736357,9,1028,3,80,2,26,,428,5000
248010,덕암,38070,김해시,시,5299,0.476,14.10494482,18.72220978,4.226605311,7.44304923,,1028,3,116,5,31,3,474,5000
248920,김해사이언스파크,38070,김해시,시,5299,0.476,16.61704094,20.94262039,1.104224896,4.275268261,5,1028,2,34,,1,,224,5000
248B60,하계,38070,김해시,시,5299,0.476,22.61197898,17.78690079,0.434337236,8.552040615,14,1028,4,99,2,30,,452,5000
248640,김해명동,38070,김해시,시,5299,0.476,17.68789001,21.01823926,1.176829463,3.644318623,14,1028,2,36,,1,,254,5000
248A50,병동,38070,김해시,시,5299,0.476,17.98086862,20.76193386,1.616397462,3.762098201,,1028,2,37,,1,,270,5000
248AK0,이지(Eco-Zone),38070,김해시,시,5299,0.476,10.40673376,17.51720521,0.94331255,11.45192537,,1028,15,243,20,116,7,902,5000
248AX0,원지,38070,김해시,시,5299,0.476,12.91391545,19.48433628,4.132779779,7.94876623,,1028,8,168,13,66,5,628,5000
248240,김해GoldenRoot,38070,김해시,시,5299,0.476,10.84500338,16.10944829,1.9463303,11.0900248,,1028,12,216,15,87,3,845,5000
248960,신천,38070,김해시,시,5299,0.476,14.25091995,20.77951345,3.084632405,6.219509345,,1028,4,110,5,36,3,457,5000
248AT0,김해대동첨단,38070,김해시,시,5299,0.476,11.54508678,22.18881048,0.787963049,4.518254402,,1028,4,88,3,52,6,457,5000
248120,사포,38080,밀양시,시,586,-0.18,36.79071989,35.05554371,6.16693141,3.563746634,,94,3,66,7,34,,270,5000
148090,밀양나노,38080,밀양시,시,586,-0.18,39.64285638,37.91238093,4.830764392,4.22926397,,94,3,71,7,33,,306,5000
248AI0,용전3,38080,밀양시,시,586,-0.18,29.50780151,36.53129818,10.34755215,7.49041234,,94,,11,,4,,108,5000
448640,제대,38080,밀양시,시,586,-0.18,38.96872282,36.63811094,4.474005362,4.363697362,,94,3,69,7,33,,292,5000
448090,상남특별,38080,밀양시,시,586,-0.18,30.92246828,32.27481915,11.16689844,5.89207569,,94,,7,,2,,109,5000
448110,하남,38080,밀양시,시,586,-0.18,30.25413379,27.18856678,10.73151185,10.12710914,,94,,7,1,5,,120,5000
448800,대미,38080,밀양시,시,586,-0.18,28.50343641,34.16783373,11.62552245,7.58919142,,94,,14,,5,,127,5000
448700,춘화,38080,밀양시,시,586,-0.18,40.83917242,41.37507959,5.457803039,7.443480646,,94,1,41,2,15,,234,5000
248310,용전,38080,밀양시,시,586,-0.18,28.68215595,35.24960397,11.20211997,7.771104893,,94,,12,,4,,116,5000
448780,미전,38080,밀양시,시,586,-0.18,27.8083222,33.25047383,12.4128031,8.231798399,,94,,12,,5,,134,5000
448100,초동특별,38080,밀양시,시,586,-0.18,37.00511585,27.91693387,8.90403475,12.00484443,,94,,2,,,,77,5000
248380,밀양하남,38080,밀양시,시,586,-0.18,30.29286188,26.82288527,10.64555993,10.20460168,,94,,7,1,5,,137,5000
448080,부북특별,38080,밀양시,시,586,-0.18,40.6433514,39.71141304,5.070826023,4.675093199,,94,3,70,7,32,,322,5000
248410,덕계,38100,양산시,시,1556,0.39,29.2171985,23.64637673,6.987865736,15.19450759,,433,4,96,4,46,,586,5000
248220,산막,38100,양산시,시,1556,0.39,23.86782815,32.40087344,1.658770159,7.860080704,,433,5,87,4,37,1,344,5000
248A90,양산석계2,38100,양산시,시,1556,0.39,28.71530785,30.81844475,4.300295554,12.66475325,1,433,,15,,5,,165,5000
248040,양산,38100,양산시,시,1556,0.39,22.51747721,32.22211787,2.115726962,6.547087735,,433,5,135,9,67,2,404,5000
448150,웅상,38100,양산시,시,1556,0.39,29.1206697,24.190294,8.239659087,14.66303664,,433,3,89,3,34,,518,5000
248A30,양산용당,38100,양산시,시,1556,0.39,22.83838059,19.57305594,6.570406427,12.76217339,7,433,2,65,2,18,,423,5000
248050,어곡,38100,양산시,시,1556,0.39,23.09305022,33.39668171,3.038246328,7.482425556,8,433,5,91,4,41,1,351,5000
248980,토정,38100,양산시,시,1556,0.39,22.28645023,32.57312534,3.272690188,6.653224773,,433,5,133,9,68,2,420,5000
248A80,서창,38100,양산시,시,1556,0.39,25.55496503,22.88620917,9.53409393,16.07124756,,433,3,75,2,20,,479,5000
248660,덕계경동스마트밸리,38100,양산시,시,1556,0.39,28.6990025,24.63983558,8.480115428,14.2128089,,433,3,84,3,34,,524,5000
