ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCDLCPO25N000000026,장소,문화시설,10260432,CU,효문점,,90704,CU,3.12001e+18,울산광역시,북구,효문동,,845,3120012300,3120056000,312003000000.0,산성로,19,129.3659833,35.5684258,마마690318,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000000027,장소,문화시설,10260433,CU,울산천상점,,90704,CU,3.17103e+18,울산광역시,울주군,범서읍,천상리,610-15,3171025922,3171025900,317104000000.0,천상중앙길,80,129.2277472,35.5630334,마마565310,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000000028,장소,문화시설,10260434,CU,서생점,,90704,CU,3.17103e+18,울산광역시,울주군,서생면,신암리,246-5,3171031021,3171031000,317103000000.0,해맞이로,918,129.3273896,35.3504339,마마660076,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000000029,장소,문화시설,10260439,CU,온산공단점,,90704,CU,3.17103e+18,울산광역시,울주군,온산읍,화산리,1003-5,3171025021,3171025000,317103000000.0,공단로,423,129.3350016,35.4398147,마마665175,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000000030,장소,문화시설,10260441,CU,우정선경점,,90704,CU,3.11101e+18,울산광역시,중구,우정동,,380-19,3111010800,3111059000,311103000000.0,명륜로,75,129.3118236,35.5581705,마마642306,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000000411,장소,문화시설,10261398,CU,강서구청역점,,90704,CU,2.64401e+18,부산광역시,강서구,대저1동,,2328,2644010100,2644051000,264404000000.0,대저로274번길,35,128.9819832,35.2115154,마라348916,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000000412,장소,문화시설,10261403,CU,기장으뜸점,,90704,CU,2.67103e+18,부산광역시,기장군,기장읍,대라리,57,2671025026,2671025000,267103000000.0,차성동로,63,129.2164041,35.2434017,마라561955,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000000413,장소,문화시설,10261413,CU,사직제일점,,90704,CU,2.62601e+18,부산광역시,동래구,사직동,,48-21,2626010900,2626058000,262603000000.0,사직북로,32,129.0602629,35.1986607,마라420903,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000000414,장소,문화시설,10261414,CU,안락병원점,,90704,CU,2.62601e+18,부산광역시,동래구,안락동,,769-8,2626010200,2626074000,262604000000.0,충렬대로348번길,8,129.0958981,35.1974453,마라452902,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000000415,장소,문화시설,10261418,CU,쥬디스본관점,,90704,CU,2.62301e+18,부산광역시,부산진구,부전동,,190-1,2623010300,2623052000,262304000000.0,서전로10번길,69,129.0600199,35.1548277,마라420855,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000000416,장소,문화시설,10261419,CU,부산진포돌이점,,90704,CU,2.62301e+18,부산광역시,부산진구,부전동,,414-5,2623010300,2623051000,262304000000.0,부전로111번길,14,129.0539527,35.1600157,마라415860,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000000417,장소,문화시설,10261420,CU,서면우정점,,90704,CU,2.62301e+18,부산광역시,부산진구,부전동,,523-1,2623010300,2623052000,262304000000.0,부전로20번길,19,129.0566839,35.1527487,마라417852,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000000418,장소,문화시설,10261423,CU,서면쌍용점,,90704,CU,2.62301e+18,부산광역시,부산진구,전포동,,683-11,2623010200,2623060000,262303000000.0,동천로,70,129.062593,35.1550145,마라423855,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
